Name,Link
"European University Institute

                18 courses",/university/eui
"King Mongkut's University of Technology Thonburi

                18 courses",/university/kmutt
"Kyoto University

                18 courses",/university/kyoto
"Lancaster University

                18 courses",/university/lancaster
"Northeastern University 

                18 courses",/university/northeastern
"Sorbonne Universités

                18 courses",/university/sorbonne
"University of Strathclyde

                18 courses",/university/strathclyde
"St. Xavier's College (Autonomous), Kolkata

                18 courses",/university/sxcki
"University of Bath

                17 courses",/university/bath
"Chalmers University of Technology

                17 courses",/university/chalmers
"Chennai Mathematical Institute

                17 courses",/university/chennai
"Cornell University

                17 courses",/university/cornell
"Chiang Rai Rajabhat University

                17 courses",/university/crru
"Keio University

                17 courses",/university/keio
"Srinakharinwirot University

                17 courses",/university/swu
"Université de Montréal

                17 courses",/university/universite-de-montreal
"University of Aberdeen

                16 courses",/university/aberdeen
"Carnegie Mellon University

                16 courses",/university/cmu
"Doctor Harisingh Gour Vishwavidyalaya, Sagar

                16 courses",/university/dhgvsi
"ETH Zurich

                16 courses",/university/ethzurich
"George Washington University

                16 courses",/university/gwu
"ITMO University

                16 courses",/university/itmo
"Mahidol University

                16 courses",/university/muniv
"Nanjing University

                16 courses",/university/nanjing
"Southern New Hampshire University

                16 courses",/university/snhu
"University of Kashmir

                16 courses",/university/uoki
"University of the Witwatersrand

                16 courses",/university/wits
"Università Bocconi

                15 courses",/university/bocconi
"University of Dundee

                15 courses",/university/dundee
"University of Houston

                15 courses",/university/houston
"University of Leicester

                15 courses",/university/leicester
"Icahn School of Medicine at Mount Sinai

                15 courses",/university/mssm
"University of Notre Dame

                15 courses",/university/nd
"University of Rochester

                15 courses",/university/rochester
"UAL Creative Computing Institute

                15 courses",/university/ual
"Universitat Jaume  I

                15 courses",/university/uji
"Universidad de La Laguna

                15 courses",/university/universidad-laguna
"University of Western Australia

                15 courses",/university/uwa
"Xi'an Jiaotong University

                15 courses",/university/xjtu
"Technical University of Denmark (DTU)

                14 courses",/university/dtu
"École normale supérieure

                14 courses",/university/ens
"Gujarat University

                14 courses",/university/gui
"Karolinska Institutet

                14 courses",/university/ki
"King Mongkut's Institute of Technology Ladkrabang

                14 courses",/university/kmitl
"McMaster University

                14 courses",/university/mcmaster
"University of Parma

                14 courses",/university/parma
"San Jose State University

                14 courses",/university/sjsu
"Tokyo Institute of Technology

                14 courses",/university/tokyotech
"Trinity College Dublin

                14 courses",/university/trinity
"University of California, San Francisco

                14 courses",/university/ucsf
"Université Paris 1 Panthéon-Sorbonne

                14 courses",/university/univ-paris1
"University of Urbino

                14 courses",/university/urbino
"Case Western Reserve University

                13 courses",/university/casewestern
"Devi Ahilya Viswavidyalaya, Indore

                13 courses",/university/davii
"Grenoble School of Management

                13 courses",/university/grenoble-em
"Hebrew University of Jerusalem

                13 courses",/university/huji
"St George's, University of London

                13 courses",/university/sgul
"Silpakorn University

                13 courses",/university/su
"School of Visual Arts

                13 courses",/university/sva
"The College of St. Scholastica

                13 courses",/university/tcss
"Université fédérale de Toulouse Midi-Pyrénées

                13 courses",/university/uftmp
"University of Maryland University College

                13 courses",/university/umuc
"The University of North Carolina at Chapel Hill

                13 courses",/university/unc
"Universidad de Salamanca

                13 courses",/university/usal
"University of Zurich

                13 courses",/university/zurich
"Avinashilingam Institute for Home Science and Higher Education for Women

                12 courses",/university/aifhsahefwci
"University of Basel

                12 courses",/university/basel
"Universitat Oberta de Catalunya

                12 courses",/university/catalunya
"EDHEC Business School

                12 courses",/university/edhec
"University of Helsinki

                12 courses",/university/helsinki
"Indian Institute of Science Education and Research, Mohali

                12 courses",/university/iiser-mohali
"Indian Institute of Technology, Ropar

                12 courses",/university/iitr
"ISAE-SUPAERO

                12 courses",/university/isae-supaero
"Instituto Tecnológico de Aeronáutica

                12 courses",/university/ita
"Jawaharlal Nehru University, New Delhi

                12 courses",/university/jnui
"LaSalle College

                12 courses",/university/lasalle
"Middlesex University London

                12 courses",/university/middlesex-london
